Brassica oleracea
Ginkgo biloba
Equisetum xtrachyodon
Equisetum font-queri
Equisetum nelsonii
Equisetum mexicanum
Equisetum wilmottii
Equisetum xlittorale
Equisetum dycei
Equisetum komarovi
Pseudaphelidium drebesii
Morchella meiliensis
Morchella rete
vouchered mycorrhizae Ascomycota
Morchella elata
Morilla olivea
Morchella americana
Morchella pragensis
Morchella alba
Antonospora psocopterae
Canis lupus
Pan paniscus
Ursus arctos
Pan troglodytes
Pongo pygmaeus
Pongo abelii
Gorilla gorilla
Gorilla beringei
Felis catus
Homo sapiens
